entity_id,state,last_changed
sensor.v1_sk_a_co2_avg_5m,794.833,2026-09-17T03:10:00.404Z
sensor.v1_sk_a_co2_avg_5m,792.667,2026-09-17T03:15:00.405Z
sensor.v1_sk_a_co2_avg_5m,796.75,2026-09-17T03:20:00.405Z
sensor.v1_sk_a_co2_avg_5m,798.667,2026-09-17T03:25:00.405Z
sensor.v1_sk_a_co2_avg_5m,809.999,2026-09-17T03:30:00.406Z
sensor.v1_sk_a_co2_avg_5m,811.834,2026-09-17T03:35:00.404Z
sensor.v1_sk_a_co2_avg_5m,820.0,2026-09-17T03:40:00.405Z
sensor.v1_sk_a_co2_avg_5m,824.833,2026-09-17T03:45:00.405Z
sensor.v1_sk_a_co2_avg_5m,828.625,2026-09-17T03:50:00.404Z
sensor.v1_sk_a_co2_avg_5m,829.5,2026-09-17T03:55:00.405Z
sensor.v1_sk_a_co2_avg_5m,826.625,2026-09-17T04:00:00.408Z
sensor.v1_sk_a_co2_avg_5m,826.25,2026-09-17T04:05:00.406Z
sensor.v1_sk_a_co2_avg_5m,824.749,2026-09-17T04:10:00.404Z
sensor.v1_sk_a_co2_avg_5m,826.75,2026-09-17T04:15:00.404Z
sensor.v1_sk_a_co2_avg_5m,827.749,2026-09-17T04:20:00.404Z
sensor.v1_sk_a_co2_avg_5m,821.0,2026-09-17T04:25:00.405Z
sensor.v1_sk_a_co2_avg_5m,824.0,2026-09-17T04:30:00.406Z
sensor.v1_sk_a_co2_avg_5m,821.874,2026-09-17T04:35:00.406Z
sensor.v1_sk_a_co2_avg_5m,809.5,2026-09-17T04:40:00.404Z
sensor.v1_sk_a_co2_avg_5m,810.833,2026-09-17T04:45:00.405Z
sensor.v1_sk_a_co2_avg_5m,813.75,2026-09-17T04:50:00.404Z
sensor.v1_sk_a_co2_avg_5m,822.623,2026-09-17T04:55:00.408Z
sensor.v1_sk_a_co2_avg_5m,838.002,2026-09-17T05:00:00.405Z
sensor.v1_sk_a_co2_avg_5m,839.249,2026-09-17T05:05:00.405Z
sensor.v1_sk_a_co2_avg_5m,840.0,2026-09-17T05:10:00.404Z
sensor.v1_sk_a_co2_avg_5m,842.5,2026-09-17T05:15:00.405Z
sensor.v1_sk_a_co2_avg_5m,838.124,2026-09-17T05:20:00.405Z
sensor.v1_sk_a_co2_avg_5m,848.875,2026-09-17T05:25:00.408Z
sensor.v1_sk_a_co2_avg_5m,846.002,2026-09-17T05:30:00.413Z
sensor.v1_sk_a_co2_avg_5m,842.501,2026-09-17T05:35:00.404Z
sensor.v1_sk_a_co2_avg_5m,842.999,2026-09-17T05:40:00.407Z
sensor.v1_sk_a_co2_avg_5m,838.125,2026-09-17T05:45:00.404Z
sensor.v1_sk_a_co2_avg_5m,834.751,2026-09-17T05:50:00.404Z
sensor.v1_sk_a_co2_avg_5m,831.834,2026-09-17T05:55:00.405Z
sensor.v1_sk_a_co2_avg_5m,839.999,2026-09-17T06:00:00.404Z
sensor.v1_sk_a_co2_avg_5m,840.624,2026-09-17T06:05:00.405Z
sensor.v1_sk_a_co2_avg_5m,838.666,2026-09-17T06:10:00.404Z
sensor.v1_sk_a_co2_avg_5m,844.876,2026-09-17T06:15:00.404Z
sensor.v1_sk_a_co2_avg_5m,840.5,2026-09-17T06:20:00.404Z
sensor.v1_sk_a_co2_avg_5m,839.0,2026-09-17T06:25:00.404Z
sensor.v1_sk_a_co2_avg_5m,847.166,2026-09-17T06:30:00.415Z
sensor.v1_sk_a_co2_avg_5m,848.0,2026-09-17T06:35:00.405Z
sensor.v1_sk_a_co2_avg_5m,849.999,2026-09-17T06:40:00.404Z
sensor.v1_sk_a_co2_avg_5m,826.75,2026-09-17T06:45:00.419Z
sensor.v1_sk_a_co2_avg_5m,816.5,2026-09-17T06:50:00.404Z
sensor.v1_sk_a_co2_avg_5m,797.125,2026-09-17T06:55:00.405Z
sensor.v1_sk_a_co2_avg_5m,781.625,2026-09-17T07:00:00.404Z
sensor.v1_sk_a_co2_avg_5m,753.626,2026-09-17T07:05:00.404Z
sensor.v1_sk_a_co2_avg_5m,722.75,2026-09-17T07:10:00.405Z
sensor.v1_sk_a_co2_avg_5m,713.875,2026-09-17T07:15:00.405Z
sensor.v1_sk_a_co2_avg_5m,706.5,2026-09-17T07:20:00.405Z
sensor.v1_sk_a_co2_avg_5m,697.0,2026-09-17T07:25:00.405Z
sensor.v1_sk_a_co2_avg_5m,701.75,2026-09-17T07:30:00.413Z
sensor.v1_sk_a_co2_avg_5m,709.5,2026-09-17T07:35:00.404Z
sensor.v1_sk_a_co2_avg_5m,718.625,2026-09-17T07:40:00.405Z
sensor.v1_sk_a_co2_avg_5m,730.75,2026-09-17T07:45:00.407Z
sensor.v1_sk_a_co2_avg_5m,737.375,2026-09-17T07:50:00.405Z
sensor.v1_sk_a_co2_avg_5m,746.5,2026-09-17T07:55:00.405Z
sensor.v1_sk_a_co2_avg_5m,755.5,2026-09-17T08:00:00.405Z
sensor.v1_sk_a_co2_avg_5m,760.125,2026-09-17T08:05:00.408Z
sensor.v1_sk_a_co2_avg_5m,763.875,2026-09-17T08:10:00.405Z
sensor.v1_sk_a_co2_avg_5m,770.25,2026-09-17T08:15:00.404Z
sensor.v1_sk_a_co2_avg_5m,771.5,2026-09-17T08:20:00.404Z
sensor.v1_sk_a_co2_avg_5m,774.5,2026-09-17T08:25:00.405Z
sensor.v1_sk_a_co2_avg_5m,775.0,2026-09-17T08:30:00.424Z
sensor.v1_sk_a_co2_avg_5m,781.75,2026-09-17T08:35:00.405Z
sensor.v1_sk_a_co2_avg_5m,792.333,2026-09-17T08:40:00.415Z
sensor.v1_sk_a_co2_avg_5m,806.25,2026-09-17T08:45:00.405Z
sensor.v1_sk_a_co2_avg_5m,815.375,2026-09-17T08:50:00.420Z
sensor.v1_sk_a_co2_avg_5m,829.0,2026-09-17T08:55:00.405Z
sensor.v1_sk_a_co2_avg_5m,830.5,2026-09-17T09:00:00.407Z
sensor.v1_sk_a_co2_avg_5m,834.0,2026-09-17T09:05:00.405Z
